City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
421,Broome,US,42.2506,-75.833,77.9,70,80,5.99,6/22/2022 14:44
678,Malinyi,TZ,-8.9333,36.1333,77.77,48,57,2.06,6/22/2022 14:46
142,Harper,LR,4.375,-7.7169,77.76,82,100,4.27,6/22/2022 14:41
555,Vanimo,PG,-2.6741,141.3028,77.74,86,19,4.03,6/22/2022 14:45
494,Giaveno,IT,45.047,7.3492,77.72,85,76,4.54,6/22/2022 14:45
406,Aitape,PG,-3.1374,142.3475,77.68,87,58,3.98,6/22/2022 14:44
10,Itaporanga,BR,-7.3044,-38.1503,77.61,69,63,10.89,6/22/2022 14:40
360,Kota Belud,MY,6.351,116.4305,77.61,85,85,4.88,6/22/2022 14:43
706,Tabou,CI,4.423,-7.3528,77.59,82,100,3.47,6/22/2022 14:47
702,Kloulklubed,PW,7.0419,134.2556,77.5,69,42,5.88,6/22/2022 14:47
643,Itanagar,IN,27.1,93.6167,77.41,93,74,2.84,6/22/2022 14:46
626,Inirida,CO,3.8653,-67.9239,77.36,87,98,1.01,6/22/2022 14:46
539,Dingle,PH,10.9995,122.6711,77.31,87,100,4.03,6/22/2022 14:45
462,Merauke,ID,-8.4667,140.3333,77.27,88,88,16.89,6/22/2022 14:44
23,Atuona,PF,-9.8,-139.0333,77.18,70,83,23.24,6/22/2022 14:40
40,Jinchang,CN,38.4953,102.1739,77.18,34,0,2.53,6/22/2022 14:40
136,San Cristobal,VE,7.7669,-72.225,77.18,52,24,8.37,6/22/2022 14:41
456,Jiangyou,CN,31.7667,104.7167,77.16,89,100,6.29,6/22/2022 14:44
649,Berberati,CF,4.2612,15.7922,77.16,83,99,2.24,6/22/2022 14:46
209,Santa Luzia,BR,-19.7697,-43.8514,77.14,50,20,4.61,6/22/2022 14:42
427,Sibolga,ID,1.7427,98.7792,77.07,88,100,2.59,6/22/2022 14:44
164,Banjar,ID,-8.19,114.9675,77,88,100,5.23,6/22/2022 14:41
391,Luziania,BR,-16.2525,-47.9503,76.98,32,35,8.93,6/22/2022 14:44
704,Arrecife,ES,28.963,-13.5477,76.98,47,20,16.11,6/22/2022 14:46
335,Alofi,NU,-19.0595,-169.9187,76.89,88,100,8.05,6/22/2022 14:43
367,San Jose,US,37.3394,-121.895,76.86,49,20,5.75,6/22/2022 14:41
111,Auki,SB,-8.7676,160.7034,76.84,88,15,4.68,6/22/2022 14:41
227,Meulaboh,ID,4.1363,96.1285,76.77,88,99,4.9,6/22/2022 14:42
711,Takoradi,GH,4.8845,-1.7554,76.77,87,99,9.17,6/22/2022 14:47
461,Nadym,RU,65.5333,72.5167,76.75,49,32,10.69,6/22/2022 14:44
351,Ahuimanu,US,21.4447,-157.8378,76.71,79,100,12.66,6/22/2022 14:43
88,Bengkulu,ID,-3.8004,102.2655,76.66,88,100,3.51,6/22/2022 14:41
513,Todos Santos,MX,23.45,-110.2167,76.66,84,15,6.06,6/22/2022 14:45
430,Mwinilunga,ZM,-11.7358,24.4293,76.59,23,0,5.35,6/22/2022 14:44
526,Honiara,SB,-9.4333,159.95,76.55,86,11,5.57,6/22/2022 14:45
48,Bambanglipuro,ID,-7.95,110.2833,76.53,87,70,6.58,6/22/2022 14:40
547,Qui Nhon,VN,13.7667,109.2333,76.48,87,100,7.92,6/22/2022 14:45
464,La Crosse,US,43.8014,-91.2396,76.41,59,0,11.5,6/22/2022 14:44
83,Luganville,VU,-15.5333,167.1667,76.35,88,99,12.26,6/22/2022 14:41
113,Mufumbwe,ZM,-13.6833,24.8,76.35,27,0,5.46,6/22/2022 14:41
1,Sao Filipe,CV,14.8961,-24.4956,76.33,86,100,4.23,6/22/2022 14:40
353,Saint George,US,37.1041,-113.5841,76.24,11,0,6.91,6/22/2022 14:43
118,La Macarena,CO,2.1837,-73.7849,76.19,86,97,2.77,6/22/2022 14:41
493,Ozu,JP,33.5,132.55,76.17,94,38,3.78,6/22/2022 14:45
512,Saint Anthony,US,45.0205,-93.218,76.08,63,20,11.5,6/22/2022 14:45
329,Pierre,US,44.3683,-100.351,76.05,60,0,5.99,6/22/2022 14:43
100,Hoima,UG,1.4356,31.3436,76.03,69,88,2.55,6/22/2022 14:41
41,Maragogi,BR,-9.0122,-35.2225,75.85,93,100,14.03,6/22/2022 14:40
179,Kahului,US,20.8947,-156.47,75.85,79,100,8.05,6/22/2022 14:42
346,Lahaina,US,20.8783,-156.6825,75.81,87,100,9.44,6/22/2022 14:43
571,Kushmurun,KZ,52.4503,64.6311,75.81,57,12,6.58,6/22/2022 14:45
435,Pitimbu,BR,-7.4706,-34.8086,75.79,84,100,10.22,6/22/2022 14:44
45,Tongchuan,CN,35.0806,109.0897,75.63,80,100,2.95,6/22/2022 14:40
167,Biak,ID,-0.9131,122.8766,75.56,88,100,6.73,6/22/2022 14:41
423,Makakilo City,US,21.3469,-158.0858,75.52,77,0,6.91,6/22/2022 14:44
645,Segamat,MY,2.5148,102.8158,75.51,90,100,3.36,6/22/2022 14:46
688,Udachnyy,RU,66.4167,112.4,75.45,40,52,5.91,6/22/2022 14:46
652,Natal,BR,-5.795,-35.2094,75.42,94,100,10.36,6/22/2022 14:46
305,Seljord,NO,59.4894,8.634,75.4,31,100,7.29,6/22/2022 14:43
311,Matagami,CA,49.7502,-77.6328,75.31,64,0,11.5,6/22/2022 14:43
299,Omboue,GA,-1.5746,9.2618,75.29,69,39,12.57,6/22/2022 14:43
465,Turukhansk,RU,65.8167,87.9833,75.29,43,0,8.03,6/22/2022 14:44
